basin_id,NSE
2004,
2007,
2009,0.617
2011,0.866
2014,
2016,0.76
2017,
2018,0.825
2019,0.815
2020,0.78
2021,
2022,
2023,
2024,0.692
2025,
2026,
2027,
2028,
2029,0.679
2030,0.905
2031,
2032,
2033,0.639
2034,0.823
2041,
2043,
2044,0.859
2053,0.618
2056,0.829
2063,0.728
2066,
2067,0.74
2068,0.766
2070,0.698
2072,
2073,
2074,
2078,0.776
2079,-4.274
2081,
2082,
2084,0.828
2085,0.739
2086,0.488
2087,0.712
2088,
2091,0.819
2093,
2097,
2099,0.689
2101,
2102,0.627
2104,0.808
2105,0.813
2106,0.925
2109,0.872
2110,0.805
2112,0.757
2113,
2116,
2117,0.69
2118,
2119,0.28
2122,0.89
2125,0.824
2126,0.874
2130,
2132,0.919
2135,0.906
2137,
2139,0.737
2141,0.887
2143,0.807
2150,0.763
2151,0.739
2152,0.861
2154,
2155,0.745
2157,-1.142
2159,0.765
2160,0.707
2161,0.94
2167,0.658
2168,
2170,0.828
2174,0.432
2176,0.852
2179,0.848
2181,0.889
2185,0.683
2187,0.702
2199,0.861
2200,0.911
2202,0.923
2203,0.722
2205,0.798
2206,-0.279
2207,
2208,
2209,
2210,0.891
2215,0.316
2217,
2219,0.634
2232,0.426
2239,0.24
2243,0.715
2244,0.79
2247,0.878
2251,0.615
2252,0.58
2256,0.895
2262,0.924
2263,0.89
2265,0.863
2268,0.927
2269,0.944
2270,0.811
2276,0.519
2282,0.704
2283,0.715
2288,0.873
2289,0.816
2290,0.867
2299,0.896
2300,0.747
2303,0.859
2304,0.457
2305,0.551
2307,0.847
2308,0.642
2309,-0.217
2312,0.865
2319,0.855
2321,0.549
2327,0.894
2342,0.687
2343,0.867
2346,0.91
2347,0.596
2349,0.843
2351,0.598
2352,0.29
2355,0.853
2356,0.569
2364,0.631
2366,0.769
2368,0.467
2369,0.752
2370,0.87
2371,0.833
2372,0.575
2374,0.818
2378,0.764
2386,0.929
2387,0.443
2392,
2403,0.771
2409,0.725
2410,0.82
2412,0.847
2414,0.73
2415,0.839
2416,0.806
2417,0.59
2418,0.285
2419,0.869
2420,0.873
2426,0.593
2430,0.796
2432,0.834
2433,0.821
2434,0.849
2436,0.604
2437,0.796
2446,0.39
2447,0.582
2450,0.843
2457,0.949
2458,0.867
2461,0.845
2462,0.902
2463,0.475
2467,
2468,0.778
2469,0.89
2471,0.85
2473,0.805
2474,0.679
2475,0.329
2477,0.777
2478,0.872
2480,0.858
2481,0.617
2484,
2485,0.948
2486,0.77
2487,0.816
2488,0.526
2490,0.193
2491,0.862
2493,0.878
2494,0.643
2497,0.767
2498,0.728
2500,0.777
2602,0.722
2603,0.789
2604,0.823
2605,0.748
2606,0.221
2607,0.872
2608,0.397
2609,0.765
2610,0.828
2612,0.617
2613,0.81
2615,
2617,0.876
2620,0.086
2623,
2629,0.82
2630,-5.497
2631,0.599
2634,0.85
2635,0.651
2640,
2642,
2644,
3001,0.821
3002,0.63
3003,0.624
3004,0.111
3005,0.598
3006,0.762
3007,0.766
3008,0.669
3009,0.659
3010,0.797
3011,
3012,
3013,
3014,
3015,
3016,
3017,
3018,0.791
3019,0.246
3020,
3021,
3022,
3023,
3024,
3025,
3026,
3027,
3028,
3029,
3030,
3031,
3032,0.847
3033,0.777
4001,
4002,
4003,
4004,0.875
4005,
4006,
4007,
4008,
4009,
4010,0.865
4011,
4012,
4013,
4014,
4015,
4016,
4017,
4018,
4019,
4020,
4021,
4022,
4023,
4024,
4025,
4026,
5001,0.788
5002,
5003,0.753
5004,
5005,
5006,0.293
5007,
5008,
5009,0.782
5010,0.662
5011,
5012,0.884
5013,0.885
5014,0.9
5015,
5016,0.801
5017,
5018,
5019,
5020,
5021,0.87
5022,-0.632
5023,
5024,
5025,-1953.372
5026,0.753
5027,0.759
5028,
5029,0.791
5030,0.3
5031,0.886
5032,0.876
6001,
6002,
6003,
6004,0.669
6005,0.311
6006,
6007,0.052
6008,
6009,
6010,
6011,
